data_hora;profundidade 0,3 m;profundidade 0,8 m;profundidade1,5 m;profundidade 2,0 m;profundidade 2,5 m
25/11/2012 10:40;0,403;0,411;0,371;0,45;0,351
25/11/2012 10:50;0,403;0,411;0,37;0,45;0,351
25/11/2012 11:00;0,402;0,411;0,371;0,45;0,351
25/11/2012 11:10;0,403;0,411;0,37;0,45;0,351
25/11/2012 11:20;0,402;0,411;0,37;0,45;0,351
25/11/2012 11:30;0,403;0,411;0,37;0,45;0,351
25/11/2012 11:40;0,403;0,411;0,37;0,45;0,351
25/11/2012 11:50;0,403;0,411;0,37;0,45;0,351
25/11/2012 12:00;0,403;0,411;0,37;0,45;0,351
25/11/2012 12:10;0,403;0,411;0,37;0,45;0,351
25/11/2012 12:20;0,403;0,411;0,37;0,45;0,351
25/11/2012 12:30;0,403;0,411;0,37;0,45;0,351
25/11/2012 12:40;0,403;0,411;0,37;0,45;0,351
25/11/2012 12:50;0,403;0,411;0,37;0,45;0,351
25/11/2012 13:00;0,403;0,411;0,37;0,45;0,351
25/11/2012 13:10;0,403;0,411;0,37;0,45;0,351
25/11/2012 13:20;0,403;0,411;0,37;0,45;0,351
25/11/2012 13:30;0,403;0,411;0,37;0,45;0,351
25/11/2012 13:40;0,403;0,411;0,37;0,45;0,351
25/11/2012 13:50;0,403;0,411;0,37;0,45;0,351
25/11/2012 14:00;0,403;0,411;0,37;0,45;0,351
25/11/2012 14:10;0,403;0,411;0,37;0,45;0,351
25/11/2012 14:20;0,403;0,411;0,37;0,45;0,351
25/11/2012 14:30;0,403;0,411;0,37;0,45;0,351
25/11/2012 14:40;0,403;0,411;0,37;0,45;0,351
25/11/2012 14:50;0,403;0,411;0,37;0,45;0,351
25/11/2012 15:00;0,403;0,411;0,37;0,45;0,351
25/11/2012 15:10;0,403;0,411;0,37;0,45;0,351
25/11/2012 15:20;0,403;0,411;0,37;0,45;0,351
25/11/2012 15:30;0,403;0,412;0,37;0,45;0,351
25/11/2012 15:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 15:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 16:00;0,403;0,412;0,37;0,45;0,351
25/11/2012 16:10;0,403;0,412;0,37;0,45;0,351
25/11/2012 16:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 16:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 16:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 16:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 17:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 17:10;0,403;0,412;0,37;0,45;0,351
25/11/2012 17:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 17:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 17:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 17:50;0,403;0,412;0,37;0,45;0,351
25/11/2012 18:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 18:10;0,403;0,412;0,371;0,45;0,351
25/11/2012 18:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 18:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 18:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 18:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 19:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 19:10;0,403;0,412;0,371;0,45;0,351
25/11/2012 19:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 19:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 19:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 19:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 20:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 20:10;0,403;0,412;0,371;0,45;0,351
25/11/2012 20:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 20:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 20:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 20:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 21:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 21:10;0,403;0,412;0,371;0,45;0,351
25/11/2012 21:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 21:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 21:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 21:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 22:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 22:10;0,403;0,412;0,371;0,45;0,351
25/11/2012 22:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 22:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 22:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 22:50;0,403;0,412;0,371;0,45;0,351
25/11/2012 23:00;0,403;0,412;0,371;0,45;0,351
25/11/2012 23:10;0,403;0,412;0,371;0,45;0,351
25/11/2012 23:20;0,403;0,412;0,371;0,45;0,351
25/11/2012 23:30;0,403;0,412;0,371;0,45;0,351
25/11/2012 23:40;0,403;0,412;0,371;0,45;0,351
25/11/2012 23:50;0,403;0,412;0,371;0,45;0,351
26/11/2012 00:00;0,403;0,412;0,371;0,45;0,351
26/11/2012 00:10;0,403;0,412;0,371;0,45;0,351
26/11/2012 00:20;0,403;0,412;0,371;0,45;0,351
26/11/2012 00:30;0,403;0,412;0,371;0,45;0,351
26/11/2012 00:40;0,403;0,412;0,371;0,45;0,351
26/11/2012 00:50;0,403;0,412;0,371;0,45;0,351
26/11/2012 01:00;0,403;0,412;0,371;0,45;0,351
26/11/2012 01:10;0,403;0,412;0,371;0,45;0,351
26/11/2012 01:20;0,403;0,412;0,371;0,45;0,351
26/11/2012 01:30;0,403;0,412;0,371;0,45;0,351
26/11/2012 01:40;0,403;0,412;0,371;0,45;0,351
26/11/2012 01:50;0,403;0,412;0,371;0,45;0,351
26/11/2012 02:00;0,403;0,412;0,37;0,45;0,351
26/11/2012 02:10;0,403;0,412;0,371;0,45;0,351
26/11/2012 02:20;0,403;0,412;0,371;0,45;0,351
26/11/2012 02:30;0,403;0,412;0,371;0,45;0,351
26/11/2012 02:40;0,403;0,412;0,371;0,45;0,351
26/11/2012 02:50;0,403;0,412;0,371;0,45;0,351
26/11/2012 03:00;0,403;0,412;0,37;0,45;0,351
26/11/2012 03:10;0,403;0,412;0,371;0,45;0,351
26/11/2012 03:20;0,403;0,412;0,37;0,45;0,351
26/11/2012 03:30;0,403;0,412;0,37;0,45;0,351
26/11/2012 03:40;0,403;0,412;0,37;0,45;0,351
26/11/2012 03:50;0,403;0,412;0,37;0,45;0,351
26/11/2012 04:00;0,403;0,412;0,37;0,45;0,351
26/11/2012 04:10;0,403;0,412;0,37;0,45;0,351
26/11/2012 04:20;0,403;0,412;0,37;0,45;0,351
26/11/2012 04:30;0,403;0,412;0,37;0,45;0,351
26/11/2012 04:40;0,403;0,412;0,37;0,45;0,351
26/11/2012 04:50;0,403;0,412;0,37;0,45;0,351
26/11/2012 05:00;0,403;0,412;0,37;0,45;0,351
26/11/2012 05:10;0,403;0,412;0,37;0,45;0,351
26/11/2012 05:20;0,403;0,412;0,37;0,45;0,351
26/11/2012 05:30;0,403;0,412;0,37;0,45;0,351
26/11/2012 05:40;0,403;0,412;0,37;0,45;0,351
26/11/2012 05:50;0,403;0,412;0,37;0,45;0,351
26/11/2012 06:00;0,403;0,412;0,37;0,45;0,351
26/11/2012 06:10;0,403;0,412;0,37;0,45;0,351
26/11/2012 06:20;0,403;0,412;0,37;0,45;0,351
26/11/2012 06:30;0,403;0,412;0,37;0,45;0,351
26/11/2012 06:40;0,403;0,412;0,37;0,45;0,351
26/11/2012 06:50;0,403;0,412;0,37;0,45;0,351
26/11/2012 07:00;0,403;0,412;0,37;0,45;0,351
26/11/2012 07:10;0,403;0,412;0,37;0,45;0,351
26/11/2012 07:20;0,403;0,412;0,37;0,45;0,351
26/11/2012 07:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 07:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 07:50;0,403;0,412;0,37;0,45;0,351
26/11/2012 08:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 08:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 08:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 08:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 08:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 08:50;0,403;0,412;0,369;0,45;0,351
26/11/2012 09:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 09:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 09:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 09:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 09:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 09:50;0,403;0,412;0,369;0,45;0,351
26/11/2012 10:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 10:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 10:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 10:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 10:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 10:50;0,403;0,412;0,369;0,45;0,351
26/11/2012 11:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 11:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 11:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 11:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 11:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 11:50;0,403;0,412;0,369;0,45;0,351
26/11/2012 12:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 12:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 12:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 12:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 12:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 12:50;0,403;0,412;0,369;0,45;0,351
26/11/2012 13:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 13:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 13:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 13:30;0,403;0,412;0,369;0,45;0,351
26/11/2012 13:40;0,403;0,412;0,369;0,45;0,351
26/11/2012 13:50;0,403;0,412;0,369;0,45;0,351
26/11/2012 14:00;0,403;0,412;0,369;0,45;0,351
26/11/2012 14:10;0,403;0,412;0,369;0,45;0,351
26/11/2012 14:20;0,403;0,412;0,369;0,45;0,351
26/11/2012 14:30;0,403;0,412;0,368;0,45;0,351
26/11/2012 14:40;0,403;0,412;0,368;0,45;0,351
26/11/2012 14:50;0,403;0,412;0,368;0,45;0,351
26/11/2012 15:00;0,403;0,412;0,368;0,45;0,351
26/11/2012 15:10;0,403;0,412;0,368;0,45;0,351
26/11/2012 15:20;0,403;0,412;0,368;0,45;0,351
26/11/2012 15:30;0,403;0,412;0,368;0,45;0,351
26/11/2012 15:40;0,403;0,412;0,368;0,45;0,351
26/11/2012 15:50;0,403;0,412;0,368;0,45;0,351
26/11/2012 16:00;0,403;0,412;0,367;0,45;0,351
26/11/2012 16:10;0,403;0,412;0,368;0,45;0,351
26/11/2012 16:20;0,403;0,412;0,367;0,45;0,351
26/11/2012 16:30;0,403;0,412;0,367;0,45;0,351
26/11/2012 16:40;0,403;0,412;0,367;0,45;0,351
26/11/2012 16:50;0,402;0,412;0,368;0,45;0,351
26/11/2012 17:00;0,403;0,412;0,368;0,45;0,351
26/11/2012 17:10;0,403;0,412;0,368;0,45;0,351
26/11/2012 17:20;0,403;0,412;0,367;0,45;0,351
26/11/2012 17:30;0,403;0,412;0,367;0,45;0,351
26/11/2012 17:40;0,403;0,412;0,367;0,45;0,351
26/11/2012 17:50;0,403;0,412;0,367;0,45;0,351
26/11/2012 18:00;0,403;0,412;0,368;0,45;0,351
26/11/2012 18:10;0,403;0,412;0,367;0,45;0,351
26/11/2012 18:20;0,403;0,412;0,367;0,45;0,351
26/11/2012 18:30;0,403;0,412;0,367;0,45;0,351
26/11/2012 18:40;0,402;0,412;0,367;0,45;0,351
26/11/2012 18:50;0,403;0,412;0,367;0,45;0,351
26/11/2012 19:00;0,403;0,412;0,367;0,45;0,351
26/11/2012 19:10;0,403;0,412;0,367;0,45;0,351
26/11/2012 19:20;0,403;0,412;0,367;0,45;0,351
26/11/2012 19:30;0,403;0,412;0,367;0,45;0,351
26/11/2012 19:40;0,402;0,412;0,367;0,45;0,351
26/11/2012 19:50;0,403;0,412;0,367;0,45;0,351
26/11/2012 20:00;0,403;0,412;0,367;0,45;0,351
26/11/2012 20:10;0,402;0,412;0,367;0,45;0,351
26/11/2012 20:20;0,403;0,412;0,367;0,45;0,351
26/11/2012 20:30;0,403;0,412;0,367;0,45;0,351
26/11/2012 20:40;0,402;0,412;0,367;0,45;0,351
26/11/2012 20:50;0,403;0,412;0,367;0,45;0,351
26/11/2012 21:00;0,402;0,412;0,367;0,45;0,351
26/11/2012 21:10;0,402;0,412;0,367;0,45;0,351
26/11/2012 21:20;0,403;0,412;0,367;0,45;0,351
26/11/2012 21:30;0,402;0,412;0,367;0,45;0,351
26/11/2012 21:40;0,403;0,412;0,367;0,45;0,351
26/11/2012 21:50;0,402;0,412;0,367;0,45;0,351
26/11/2012 22:00;0,403;0,412;0,367;0,45;0,351
26/11/2012 22:10;0,402;0,412;0,367;0,45;0,351
26/11/2012 22:20;0,402;0,412;0,367;0,45;0,351
26/11/2012 22:30;0,402;0,412;0,367;0,45;0,351
26/11/2012 22:40;0,402;0,412;0,367;0,45;0,351
26/11/2012 22:50;0,403;0,412;0,367;0,45;0,351
26/11/2012 23:00;0,402;0,412;0,367;0,45;0,351
